Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.9400        -318.4792    -320.5752       2.0960   311.8
3.9500        -318.5029    -320.7848       2.2819   339.5
3.9600        -318.5487    -320.9155       2.3668   352.1
3.9700        -318.5856    -320.7478       2.1623   321.7
3.9800        -318.5997    -320.6430       2.0433   304.0
3.9900        -318.6221    -320.9193       2.2972   341.8
4.0000        -318.6701    -321.0041       2.3339   347.2
4.0100        -318.6931    -320.9886       2.2955   341.5
4.0200        -318.6865    -320.6577       1.9712   293.3
4.0300        -318.6617    -320.7518       2.0901   311.0
4.0400        -318.6827    -320.6723       1.9896   296.0
4.0500        -318.7111    -320.8294       2.1182   315.1
4.0600        -318.7314    -320.9355       2.2041   327.9
4.0700        -318.7292    -320.9551       2.2259   331.2
4.0800        -318.7385    -320.9719       2.2334   332.3
4.0900        -318.7476    -320.9504       2.2028   327.7
4.1000        -318.7655    -320.7032       1.9378   288.3
4.1100        -318.7403    -320.6239       1.8836   280.2
4.1200        -318.7582    -320.7271       1.9689   292.9
4.1300        -318.7390    -320.7284       1.9894   296.0
4.1400        -318.7396    -320.6772       1.9377   288.3
4.1500        -318.7319    -320.6868       1.9549   290.8
4.1600        -318.6901    -320.4633       1.7732   263.8
4.1700        -318.6695    -320.3831       1.7136   254.9
4.1800        -318.6919    -320.6640       1.9721   293.4
4.1900        -318.7279    -320.8008       2.0729   308.4
4.2000        -318.7333    -320.9231       2.1898   325.8
4.2100        -318.7404    -320.8991       2.1588   321.2
4.2200        -318.7247    -320.4971       1.7724   263.7
4.2300        -318.7163    -320.6076       1.8913   281.4
4.2400        -318.7173    -320.7969       2.0795   309.4
4.2500        -318.7313    -320.6986       1.9673   292.7
4.2600        -318.7646    -321.1485       2.3839   354.7
4.2700        -318.7826    -320.9149       2.1324   317.2
4.2800        -318.7760    -320.7655       1.9895   296.0
4.2900        -318.7806    -321.0635       2.2829   339.6
4.3000        -318.8024    -321.0010       2.1986   327.1
4.3100        -318.7812    -320.6100       1.8287   272.1
4.3200        -318.7546    -320.7217       1.9672   292.7
4.3300        -318.7853    -320.9610       2.1756   323.7
4.3400        -318.8228    -320.9442       2.1214   315.6
4.3500        -318.8138    -320.9040       2.0902   311.0
4.3600        -318.7945    -320.7524       1.9579   291.3
4.3700        -318.7668    -320.6535       1.8867   280.7
4.3800        -318.7457    -320.7386       1.9929   296.5
4.3900        -318.7294    -320.4156       1.6862   250.9
4.4000        -318.7020    -320.5400       1.8381   273.5
4.4100        -318.7019    -320.5414       1.8395   273.7
4.4200        -318.7068    -320.9662       2.2594   336.1
4.4300        -318.7351    -320.8147       2.0797   309.4
4.4400        -318.7602    -321.0034       2.2432   333.7
4.4500        -318.7530    -320.7348       1.9819   294.9
4.4600        -318.7629    -320.9624       2.1995   327.2
4.4700        -318.7860    -320.7562       1.9702   293.1
4.4800        -318.7817    -320.4886       1.7069   253.9
4.4900        -318.7694    -320.5966       1.8272   271.8
4.5000        -318.7613    -320.6194       1.8581   276.4
4.5100        -318.7687    -321.0582       2.2894   340.6
4.5200        -318.8045    -320.9322       2.1277   316.6
4.5300        -318.8197    -321.0993       2.2797   339.2
4.5400        -318.8347    -321.0701       2.2354   332.6
4.5500        -318.8339    -321.0231       2.1892   325.7
4.5600        -318.8151    -320.6435       1.8285   272.0
4.5700        -318.8297    -320.7001       1.8703   278.3
4.5800        -318.8380    -320.8914       2.0534   305.5
4.5900        -318.8259    -320.8055       1.9795   294.5
4.6000        -318.8091    -320.8586       2.0496   304.9
4.6100        -318.8017    -320.5035       1.7018   253.2
4.6200        -318.7870    -320.6225       1.8355   273.1
4.6300        -318.7739    -320.8343       2.0604   306.5
4.6400        -318.7819    -320.9147       2.1328   317.3
4.6500        -318.7892    -320.8300       2.0408   303.6
4.6600        -318.7969    -320.9135       2.1165   314.9
4.6700        -318.8145    -321.0625       2.2480   334.4
4.6800        -318.8035    -320.5201       1.7166   255.4
4.6900        -318.7690    -320.7414       1.9724   293.4
4.7000        -318.7401    -320.4702       1.7301   257.4
4.7100        -318.7605    -320.8922       2.1317   317.1
4.7200        -318.7899    -321.1086       2.3187   345.0
4.7300        -318.7873    -320.7800       1.9927   296.5
4.7400        -318.7705    -321.0179       2.2474   334.4
4.7500        -318.7884    -320.8244       2.0359   302.9
4.7600        -318.7888    -320.6422       1.8534   275.7
4.7700        -318.7707    -320.6997       1.9290   287.0
4.7800        -318.7611    -320.4438       1.6828   250.4
4.7900        -318.7413    -320.5334       1.7921   266.6
4.8000        -318.7419    -320.7720       2.0301   302.0
4.8100        -318.7533    -320.8121       2.0589   306.3
4.8200        -318.7594    -320.7102       1.9508   290.2
4.8300        -318.7355    -320.7150       1.9795   294.5
4.8400        -318.7298    -320.6678       1.9379   288.3
4.8500        -318.7592    -321.0833       2.3241   345.8
4.8600        -318.8041    -321.2248       2.4206   360.1
4.8700        -318.8515    -321.4240       2.5725   382.7
4.8800        -318.8717    -321.0410       2.1693   322.7
4.8900        -318.8481    -320.6326       1.7846   265.5
4.9000        -318.8264    -320.8795       2.0531   305.4
4.9100        -318.8250    -321.0650       2.2400   333.3
4.9200        -318.8420    -320.9634       2.1214   315.6
4.9300        -318.8484    -320.9468       2.0985   312.2
4.9400        -318.8491    -320.7947       1.9456   289.5
4.9500        -318.8266    -320.7671       1.9405   288.7
4.9600        -318.8264    -320.8019       1.9755   293.9
4.9700        -318.8256    -320.6866       1.8610   276.9
4.9800        -318.8166    -321.1156       2.2990   342.0
4.9900        -318.8252    -320.7778       1.9526   290.5
5.0000        -318.8418    -321.1166       2.2748   338.4
5.0100        -318.8455    -320.9572       2.1117   314.2
5.0200        -318.8582    -320.7816       1.9234   286.2
5.0300        -318.8488    -320.8469       1.9981   297.3
5.0400        -318.8572    -320.9769       2.1197   315.4
5.0500        -318.8391    -320.7219       1.8828   280.1
5.0600        -318.8248    -320.6556       1.8307   272.4
5.0700        -318.8188    -320.7984       1.9796   294.5
5.0800        -318.8323    -320.8615       2.0292   301.9
5.0900        -318.8343    -320.9151       2.0808   309.6
5.1000        -318.8665    -321.2083       2.3418   348.4
5.1100        -318.8856    -321.0373       2.1517   320.1
5.1200        -318.8843    -321.1685       2.2842   339.8
5.1300        -318.8951    -321.0248       2.1298   316.9
5.1400        -318.9012    -321.0087       2.1075   313.5
5.1500        -318.9197    -321.0143       2.0946   311.6
5.1600        -318.9246    -320.8308       1.9062   283.6
5.1700        -318.9145    -320.6942       1.7797   264.8
5.1800        -318.9079    -320.8701       1.9621   291.9
5.1900        -318.9255    -321.0336       2.1080   313.6
5.2000        -318.9326    -320.7819       1.8493   275.1
5.2100        -318.9550    -321.1993       2.2443   333.9
5.2200        -318.9691    -320.9848       2.0157   299.9
5.2300        -318.9892    -321.2078       2.2186   330.1
5.2400        -319.0157    -321.3645       2.3489   349.5
5.2500        -319.0611    -321.4093       2.3482   349.4
5.2600        -319.0696    -321.1125       2.0429   303.9
5.2700        -319.0714    -321.1223       2.0509   305.1
