pair,distance,rdf
Ca-Ca,7.4200,0.000000
Ca-Ca,7.4600,0.000000
Ca-Ca,7.5000,0.000000
Ca-Ca,7.5400,0.000000
Ca-Ca,7.5800,0.000000
Ca-Ca,7.6200,0.000000
Ca-Ca,7.6600,0.000000
Ca-Ca,7.7000,0.000000
Ca-Ca,7.7400,0.000000
Ca-Ca,7.7800,0.000000
Ca-Ca,7.8200,0.000000
Ca-Ca,7.8600,0.000000
Ca-Ca,7.9000,0.000000
Ca-Ca,7.9400,0.000000
Ca-Ca,7.9800,0.000000
O-O,0.0200,0.000000
O-O,0.0600,0.000000
O-O,0.1000,0.000000
O-O,0.1400,0.000000
O-O,0.1800,0.000000
O-O,0.2200,0.000000
O-O,0.2600,0.000000
O-O,0.3000,0.000000
O-O,0.3400,0.000000
O-O,0.3800,0.000000
O-O,0.4200,0.000000
O-O,0.4600,0.000000
O-O,0.5000,0.000000
O-O,0.5400,0.000000
O-O,0.5800,0.000000
O-O,0.6200,0.000000
O-O,0.6600,0.000000
O-O,0.7000,0.000000
O-O,0.7400,0.000000
O-O,0.7800,0.000000
O-O,0.8200,0.000000
O-O,0.8600,0.000000
O-O,0.9000,0.000000
O-O,0.9400,0.000000
O-O,0.9800,0.000000
O-O,1.0200,0.000000
O-O,1.0600,0.000000
O-O,1.1000,0.000000
O-O,1.1400,0.000000
O-O,1.1800,0.000000
O-O,1.2200,0.000000
O-O,1.2600,0.000000
O-O,1.3000,0.000000
O-O,1.3400,0.000000
O-O,1.3800,0.000000
O-O,1.4200,0.000000
O-O,1.4600,0.000000
O-O,1.5000,0.000000
O-O,1.5400,0.000000
O-O,1.5800,0.000000
O-O,1.6200,0.000000
O-O,1.6600,0.000000
O-O,1.7000,0.000000
O-O,1.7400,0.000000
O-O,1.7800,0.000000
O-O,1.8200,0.000000
O-O,1.8600,0.000000
O-O,1.9000,0.000000
O-O,1.9400,0.000000
O-O,1.9800,0.000000
O-O,2.0200,0.000000
O-O,2.0600,0.000000
O-O,2.1000,0.000000
O-O,2.1400,0.000000
O-O,2.1800,0.000000
O-O,2.2200,0.000000
O-O,2.2600,0.000000
O-O,2.3000,0.000000
O-O,2.3400,0.000000
O-O,2.3800,0.000000
O-O,2.4200,0.000000
O-O,2.4600,1.094371
O-O,2.5000,0.000000
O-O,2.5400,0.000000
O-O,2.5800,0.000000
O-O,2.6200,0.000000
O-O,2.6600,8.423916
O-O,2.7000,5.450778
O-O,2.7400,2.646396
O-O,2.7800,0.000000
O-O,2.8200,0.000000
O-O,2.8600,7.286940
O-O,2.9000,0.000000
O-O,2.9400,0.000000
O-O,2.9800,2.237296
O-O,3.0200,0.000000
O-O,3.0600,2.121843
O-O,3.1000,0.000000
O-O,3.1400,0.000000
O-O,3.1800,1.964725
O-O,3.2200,2.554954
O-O,3.2600,0.000000
O-O,3.3000,0.608145
O-O,3.3400,0.000000
O-O,3.3800,0.000000
O-O,3.4200,0.000000
O-O,3.4600,0.000000
O-O,3.5000,0.000000
O-O,3.5400,1.585439
O-O,3.5800,0.000000
O-O,3.6200,0.000000
O-O,3.6600,0.000000
O-O,3.7000,1.451285
O-O,3.7400,0.000000
O-O,3.7800,0.000000
O-O,3.8200,0.000000
O-O,3.8600,0.000000
O-O,3.9000,0.000000
O-O,3.9400,0.000000
O-O,3.9800,1.254267
O-O,4.0200,0.000000
O-O,4.0600,0.000000
O-O,4.1000,0.000000
O-O,4.1400,0.000000
O-O,4.1800,0.000000
O-O,4.2200,0.000000
O-O,4.2600,0.000000
O-O,4.3000,0.000000
O-O,4.3400,0.000000
O-O,4.3800,0.000000
O-O,4.4200,0.000000
O-O,4.4600,1.997636
O-O,4.5000,0.000000
O-O,4.5400,0.000000
O-O,4.5800,0.000000
O-O,4.6200,0.000000
O-O,4.6600,0.000000
O-O,4.7000,0.000000
